,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
76,tiksi,36.0,RU,2019-05-24,92.0,71.64,128.87,23.63,3.11
77,thunder bay,75.0,CA,2019-05-24,61.0,48.41,-89.26,48.0,9.17
78,touros,40.0,BR,2019-05-24,83.0,-5.2,-35.46,82.4,6.93
79,tautira,1.0,PF,2019-05-24,83.0,-17.73,-149.15,77.0,2.24
80,at-bashi,98.0,KG,2019-05-24,44.0,41.17,75.81,52.07,1.3
81,lagoa,0.0,PT,2019-05-24,57.0,37.14,-8.45,86.0,10.29
82,fairbanks,75.0,US,2019-05-24,44.0,64.84,-147.72,59.0,5.82
83,kenai,75.0,US,2019-05-24,93.0,60.55,-151.26,44.01,1.72
84,tortoli,40.0,IT,2019-05-24,72.0,39.93,9.66,64.0,27.51
85,hermanus,100.0,ZA,2019-05-24,85.0,-34.42,19.24,63.0,1.01
86,pasighat,11.0,IN,2019-05-24,95.0,28.06,95.33,67.19,2.44
87,torbay,90.0,CA,2019-05-24,100.0,47.66,-52.73,37.99,12.75
88,west wendover,90.0,US,2019-05-24,71.0,40.74,-114.07,51.8,11.41
89,yaan,93.0,NG,2019-05-24,35.0,7.38,8.57,99.05,5.66
90,cabo san lucas,5.0,MX,2019-05-24,78.0,22.89,-109.91,75.99,5.82
91,lompoc,1.0,US,2019-05-24,93.0,34.64,-120.46,53.01,12.19
92,hasaki,0.0,JP,2019-05-24,82.0,35.73,140.83,71.01,4.7
93,saint-philippe,90.0,CA,2019-05-24,62.0,45.36,-73.48,57.99,14.99
94,grande prairie,40.0,CA,2019-05-24,86.0,55.17,-118.79,39.2,3.58
95,moscow,75.0,RU,2019-05-24,52.0,55.75,37.62,70.0,17.9
96,hede,20.0,SE,2019-05-24,71.0,60.45,15.49,57.99,11.41
97,hobart,20.0,AU,2019-05-24,91.0,-42.88,147.33,45.0,11.41
98,mahebourg,75.0,MU,2019-05-24,60.0,-20.41,57.7,75.2,10.29
99,iracoubo,21.0,GF,2019-05-24,77.0,5.48,-53.21,84.29,6.02
100,yerofey pavlovich,66.0,RU,2019-05-24,67.0,53.97,121.97,38.03,7.23
101,kapaa,90.0,US,2019-05-24,88.0,22.08,-159.32,73.4,4.7
102,paducah,1.0,US,2019-05-24,69.0,37.08,-88.6,81.0,3.36
103,kitzbuhel,75.0,AT,2019-05-24,63.0,47.45,12.39,66.0,4.7
104,kununurra,53.0,AU,2019-05-24,59.0,-15.77,128.74,64.4,11.52
105,pevek,98.0,RU,2019-05-24,94.0,69.7,170.27,32.81,8.7
106,camopi,99.0,GF,2019-05-24,62.0,3.17,-52.33,86.99,3.85
107,bahia blanca,0.0,AR,2019-05-24,50.0,-38.72,-62.27,57.83,9.75
108,bilibino,96.0,RU,2019-05-24,96.0,68.06,166.44,32.09,2.91
109,faanui,0.0,PF,2019-05-24,71.0,-16.48,-151.75,81.95,2.68
